Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug class,Drug name,Drug code
4661,Carrier K,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,63045,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; cervical",1,1,,,0.043055556,,,1,,NA,NA,NA
4662,Carrier K,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",1,1,,,2.101027778,,,1,,NA,NA,NA
4663,Carrier K,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional segment, cervical, thoracic, or lumbar (list separately in addition to code for primary procedure)",1,1,,,2.101027778,,,1,,NA,NA,NA
4664,Carrier K,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,63200,"Laminectomy, with release of tethered spinal cord, lumbar",1,1,,23.00301861,,,1,,,NA,NA,NA
4665,Carrier K,2022,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,22551,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below c2",1,1,,,0.043055556,,,1,,NA,NA,NA
4666,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,74176,Ct abd & pelvis,186,0.91,,,3.457180484,72,,186,1,NA,NA,NA
4667,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,93306,"Echo, transthoracic w/doppler, complete",185,0.93,,,5.466368528,,,185,,NA,NA,NA
4668,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,73721,"Mri, lower extremity any joint; wo contr",168,0.74,,,11.37845238,,,168,,NA,NA,NA
4669,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,70553,Mri of brain and further sequences,135,0.93,,,6.374585346,2016,,135,1,NA,NA,NA
4670,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,HCPC,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",122,0.9,,,4.890858175,,,122,,NA,NA,NA
4671,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,72148,Mri of lumbar spine,115,0.79,,,8.113943495,2400,,115,1,NA,NA,NA
4672,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,71250,Diagnostic ct thorax w/o cntrst,85,0.91,,,3.865003087,,,85,,NA,NA,NA
4673,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,73221,"Mri, any joint of upper extremity; wo co",78,0.76,,,11.34610776,,,78,,NA,NA,NA
4674,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,70551,Mri of brain,66,0.85,,,7.230772947,,,66,,NA,NA,NA
4675,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,93307,"Echo, transthoracic, heart, complete",64,0.97,,,10.20146032,,,64,,NA,NA,NA
4676,Carrier K,2022,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,71260,Diagnostic ct thorax w/contrast,64,0.95,,,1.650824916,,,64,,NA,NA,NA
4677,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,70491,Contrast cat scan of neck tissue,19,1,,,7.883347953,,,19,,NA,NA,NA
4678,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,74177,Ct abd & pelv w contrast,17,1,,,0.028070988,,,17,,NA,NA,NA
4679,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,70544,"Mra, head, w/o contrast",12,1,,,5.519935897,,,12,,NA,NA,NA
4680,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,72157,Mri of thoracic spine,11,1,,,2.283383838,2016,,11,1,NA,NA,NA
4681,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,70543,Mri orb/fc/nck w/o cntrst flwd cntr,8,1,,,15.97277778,,,8,,NA,NA,NA
4682,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,73223,Mri upr ext jnt w/o cntrst flwd cnt,7,1,,,14.35349206,,,7,,NA,NA,NA
4683,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,77301,"Intensity modulated radiotherapy plan, including dose-volume histograms for target and critical structure partial tolerance specifications",7,1,,7.47025993,32.80474069,,5,2,,NA,NA,NA
4684,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,29827,"Arthroscopy, shoulder, surgical; with rotator cuff repair",7,1,,,8.094536684,2520,,7,1,NA,NA,NA
4685,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,74181,"Mri, abdomen; wo contrast material(s)",7,1,,,11.34635417,,,7,,NA,NA,NA
4686,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,64491,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or ct), cervical or thoracic; second level (list separately in addition to code for primary procedure)",7,1,,,4.021460039,,,7,,NA,NA,NA
4687,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,29823,"Arthroscopy, shoulder, surgical; debridement, extensive, 3 or more discrete structures (eg, humeral bone, humeral articular cartilage, glenoid bone, glenoid articular cartilage, biceps tendon, biceps anchor complex, labrum, articular capsule, articular si",7,1,,,14.4030581,,,7,,NA,NA,NA
4688,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,77338,"Multi-leaf collimator (mlc) device(s) for intensity modulated radiation therapy (imrt), design and construction per imrt plan",7,1,,7.47025993,32.80474069,,5,2,,NA,NA,NA
4689,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,93350,Stress echo exam of heart,25,,0.04,,17.4485,,,25,,NA,NA,NA
4690,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,77049,Mri breast bilateral c-/+ w/cad,39,,0.03,,10.82368056,,,39,,NA,NA,NA
4691,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,73221,"Mri, any joint of upper extremity; wo co",78,,0.01,,11.34610776,,,78,,NA,NA,NA
4692,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,70553,Mri of brain and further sequences,135,,0.01,,6.374585346,2016,,135,1,NA,NA,NA
4693,Carrier K,2022,Outpatient Med-Surg,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,73721,"Mri, lower extremity any joint; wo contr",168,,0.01,,11.37845238,,,168,,NA,NA,NA
4694,Carrier K,2022,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,Revenue,1002,"Residential treatment, substance use disorder",18,1,,,31.55648576,,,18,,NA,NA,NA
4695,Carrier K,2022,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,Revenue,1001,"Residential treatment, psychiatric",5,1,,,63.93583333,,,5,,NA,NA,NA
4696,Carrier K,2022,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,Revenue,124,"Room and board, semi-private, psychiatric",3,1,,1.971944445,12.63392264,,1,2,,NA,NA,NA
4697,Carrier K,2022,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,Revenue,1002,"Residential treatment, substance use disorder",18,1,,,31.55648576,,,18,,NA,NA,NA
4698,Carrier K,2022,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,Revenue,1001,"Residential treatment, psychiatric",5,1,,,63.93583333,,,5,,NA,NA,NA
4699,Carrier K,2022,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,Revenue,124,"Room and board, semi-private, psychiatric",3,1,,1.971944445,12.63392264,,1,2,,NA,NA,NA
4700,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,HCPC,H0015,Alcohol and/or drug services,12,1,,,83.13438671,,,12,,NA,NA,NA
4701,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,HCPC,H2036,"Alcohol and/or other drug treatment program, per diem",11,1,,,26.97784694,,,11,,NA,NA,NA
4702,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,19350,Nipple/areola reconstruction,6,1,,,18.36854273,,,6,,NA,NA,NA
4703,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,19303,"Mastectomy, simple, complete",6,1,,,18.36854213,,,6,,NA,NA,NA
4704,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,90869,Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; subsequent motor threshold re-determination with delivery and management,5,1,,25.58472222,12.44678222,,1,4,,NA,NA,NA
4705,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,90868,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; subsequent delivery and management, per session",5,1,,25.58472222,12.44678222,,1,4,,NA,NA,NA
4706,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,90867,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; initial, including cortical mapping, motor threshold determination, delivery and management",5,1,,25.58472222,12.44678104,,1,4,,NA,NA,NA
4707,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,HCPC,H0035,"Mental health partial hospitalization, treatment, less than 24 hours",5,0.8,,,36.59735794,,,5,,NA,NA,NA
4708,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,70553,Mri of brain and further sequences,4,1,,,0.000208333,,,4,,NA,NA,NA
4709,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,71271,"Computed tomography, thorax, low dose for lung cancer screening, without contrast material(s)",2,1,,,0.000277776,,,2,,NA,NA,NA
4710,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,17999,"Unlisted procedure, skin, mucous membrane and subcutaneous tissue",2,0.5,,,45.86353792,,,2,,NA,NA,NA
4711,Carrier K,2022,Outpatient MH-SUD,Codes with the highest total number of prior authorization requests during the plan year,CPT,19318,Breast reduction,2,1,,,123.1842619,,,2,,NA,NA,NA
4712,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,H0015,Alcohol and/or drug services,12,1,,,83.13438671,,,12,,NA,NA,NA
4713,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,H2036,"Alcohol and/or other drug treatment program, per diem",11,1,,,26.97784694,,,11,,NA,NA,NA
4714,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,19350,Nipple/areola reconstruction,6,1,,,18.36854273,,,6,,NA,NA,NA
4715,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,19303,"Mastectomy, simple, complete",6,1,,,18.36854213,,,6,,NA,NA,NA
4716,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90869,Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; subsequent motor threshold re-determination with delivery and management,5,1,,25.58472222,12.44678222,,1,4,,NA,NA,NA
4717,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90868,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; subsequent delivery and management, per session",5,1,,25.58472222,12.44678222,,1,4,,NA,NA,NA
4718,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,90867,"Therapeutic repetitive transcranial magnetic stimulation (tms) treatment; initial, including cortical mapping, motor threshold determination, delivery and management",5,1,,25.58472222,12.44678104,,1,4,,NA,NA,NA
4719,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,70553,Mri of brain and further sequences,4,1,,,0.000208333,,,4,,NA,NA,NA
4720,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,71271,"Computed tomography, thorax, low dose for lung cancer screening, without contrast material(s)",2,1,,,0.000277776,,,2,,NA,NA,NA
4721,Carrier K,2022,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the plan year,CPT,19318,Breast reduction,2,1,,,123.1842619,,,2,,NA,NA,NA
4722,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0601,Continuous airway pressure (cpap) device [may be used for either cpap or apap],281,0.95,,,1.995146947,,,281,,NA,NA,NA
4723,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",19,0.89,,,6.461608187,,,19,,NA,NA,NA
4724,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,K0108,W/c component-accessory nos,5,0.4,,,81.35809017,,,5,,NA,NA,NA
4725,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",4,1,,,0.000138889,,,4,,NA,NA,NA
4726,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0960,"Wheelchair accessory, shoulder harness/straps or chest strap, including any type mounting hardware",3,0,,,23.18757065,,,3,,NA,NA,NA
4727,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,K0739,Repair/svc dme non-oxygen eq,3,0,,,21.67603333,,,3,,NA,NA,NA
4728,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0955,"Wheelchair accessory, headrest, cushioned, prefabricated, including fixed mounting hardware, each",3,0,,,23.18753028,,,3,,NA,NA,NA
4729,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1399,"Durable medical equipment, miscellaneous",3,0,,40.84433056,61.47392361,,1,2,,NA,NA,NA
4730,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2607,Skin pro/pos wc cus wd <22in,2,0,,,32.47239861,,,2,,NA,NA,NA
4731,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E2620,Wc planar back cush wd <22in,2,0,,,0.044263472,,,2,,NA,NA,NA
4732,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0978,"Wheelchair accessory, positioning belt/safety belt/pelvic strap, each",2,0,,,34.77837083,,,2,,NA,NA,NA
4733,Carrier K,2022,Durable Medical Equipment,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware for joystick, other control interface or positioning accessory",2,0,,,32.47245278,,,2,,NA,NA,NA
4734,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",4,1,,,0.000138889,,,4,,NA,NA,NA
4735,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0760,"Osteogenesis stimulator, low intensity ultrasound, non-invasive",1,1,,,133.9513889,,,1,,NA,NA,NA
4736,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0601,Continuous airway pressure (cpap) device [may be used for either cpap or apap],281,0.95,,,1.995146947,,,281,,NA,NA,NA
4737,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",19,0.89,,,6.461608187,,,19,,NA,NA,NA
4738,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,K0108,W/c component-accessory nos,5,0.4,,,81.35809017,,,5,,NA,NA,NA
4739,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0960,"Wheelchair accessory, shoulder harness/straps or chest strap, including any type mounting hardware",3,0,,,23.18757065,,,3,,NA,NA,NA
4740,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,K0739,Repair/svc dme non-oxygen eq,3,0,,,21.67603333,,,3,,NA,NA,NA
4741,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0955,"Wheelchair accessory, headrest, cushioned, prefabricated, including fixed mounting hardware, each",3,0,,,23.18753028,,,3,,NA,NA,NA
4742,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E1399,"Durable medical equipment, miscellaneous",3,0,,40.84433056,61.47392361,,1,2,,NA,NA,NA
4743,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2607,Skin pro/pos wc cus wd <22in,2,0,,,32.47239861,,,2,,NA,NA,NA
4744,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E2620,Wc planar back cush wd <22in,2,0,,,0.044263472,,,2,,NA,NA,NA
4745,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0978,"Wheelchair accessory, positioning belt/safety belt/pelvic strap, each",2,0,,,34.77837083,,,2,,NA,NA,NA
4746,Carrier K,2022,Durable Medical Equipment,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware for joystick, other control interface or positioning accessory",2,0,,,32.47245278,,,2,,NA,NA,NA
4747,Carrier K,2022,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",12,0.58,,0.614080555,26.50367164,,1,11,,NA,NA,NA
4748,Carrier K,2022,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the plan year,HCPC,E0784,"External ambulatory infusion pump, insulin",12,0.58,,0.614080555,26.50367164,,1,11,,NA,NA,NA
4749,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,39,0.85,,2.1,60.7,,9,30,,Analgesics,ADALIMUMAB,6627001500
4750,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,26,0,,3.8,13.6,,5,21,,Anti-Inflammatories,RIMEGEPANT SULFATE,6770106070
4751,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,25,0.8,,2,128,,1,24,,Antibacterials,CYCLOSPORINE (OPHTH),8672002000
4752,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,21,0.86,,5.8,36.1,,5,16,,Analgesics,ETANERCEPT,6629003000
4753,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,20,0.25,,21.2,45.2,,9,11,,Antibiotics,RIFAXIMIN,1600004900
4754,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,20,0.6,,6.2,554.9,,3,17,,Immunosuppressives,RISANKIZUMAB-RZAA,9025057070
4755,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,18,0.28,,21.6,36.2,,4,14,,Immunosuppressives,DUPILUMAB,9027302000
4756,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,18,0.5,,23.9,142,,7,11,,Analgesics,HYDROCODONE-ACETAMINOPHEN,6599170210
4757,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,17,0.71,,45.2,52.5,,1,16,,Anti-Inflammatories,GALCANEZUMAB-GNLM,6770203530
4758,Carrier K,2022,Prescription Drugs,Codes with the highest total number of prior authorization requests during the plan year,GPI10,NA,NA,16,0,,1.1,12.3,,1,15,,Anti-Inflammatories,UBROGEPANT,6770108000
4759,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,8,1,,,40.1,,,8,,Antibacterials,LIFITEGRAST,8673405000
4760,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,6,1,,,13.5,,,6,,Immunosuppressives,GUSELKUMAB,9025054200
4761,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,3,1,,9.7,25.8,,2,1,,Analgesics,MORPHINE SULFATE,6510005510
4762,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,3,1,,,56,,,3,,Bronchodilators,LEVALBUTEROL TARTRATE,4420104550
4763,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,3,1,,,41.1,,,3,,Bronchodilators,ELEXACAFTOR-TEZACAFTOR-IVACAFTOR,4530990340
4764,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,2,1,,2.2,66.6,,1,1,,Analgesics,HYDROCODONE BITARTRATE,6510003010
4765,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,2,1,,,613.9,,,2,,Hormones,TERIPARATIDE (RECOMBINANT),3004407000
4766,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,2,1,,,23.3,,,2,,Anti-Inflammatories,ALIROCUMAB,3935001000
4767,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,1,1,,,64.6,,,1,,Antineoplastics,TUCATINIB,2117008000
4768,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of approved prior authorization requests during the plan year,GPI10,NA,NA,1,1,,,45.2,,,1,,Analgesics,FENTANYL,6510002500
4769,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,3,,1,19.5,,,1,,,Analgesics,TOCILIZUMAB,6650007000
4770,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,1,,1,44.2,,,1,,,Antihypertensives,IVABRADINE HCL,4070003510
4771,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,2,,0.5,2.2,,,1,,,Antineoplastics,ABEMACICLIB,2153101000
4772,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,17,,0.25,2.2,,,1,,,Anti-Inflammatories,GALCANEZUMAB-GNLM,6770203530
4773,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,18,,0.2,,24.3,,,1,,Analgesics,HYDROCODONE-ACETAMINOPHEN,6599170210
4774,Carrier K,2022,Prescription Drugs,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,GPI10,NA,NA,20,,0.1,,329.7,,,1,,Antibiotics,RIFAXIMIN,1600004900
4775,Carrier B,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (list separately in addition to code for primary procedure)",7,0.71,,2.791348054,70.39001822,,1,6,,NA,NA,NA
4776,Carrier B,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at c1, facet screw fixation) (list separately in addition to code for primary procedure)",7,0.86,,2.791348054,111.0486359,,1,6,,NA,NA,NA
4777,Carrier B,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",6,0.83,,2.791348054,77.45881962,,1,5,,NA,NA,NA
4778,Carrier B,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",5,1,,2.791348054,117.0430522,,1,4,,NA,NA,NA
4779,Carrier B,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",5,1,,2.791348054,78.1373829,,1,4,,NA,NA,NA
4780,Carrier B,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,55866,"Laparoscopy, surgical prostatectomy, retropubic radical, including nerve sparing, includes robotic assistance, when performed",4,0,,,18.41237042,,,4,,NA,NA,NA
4781,Carrier B,2022,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the plan year,CPT,44620,"Closure of enterostomy, large or small intestine;",4,0,,0.0869125,0.7616,,2,2,,NA,NA,NA
